Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Outward issue link (Requirement),Attachment,Custom field (Approval History),Custom field (Build Manager),Custom field (Build Manager Responded),Custom field (Build Manager Response),Custom field (Completion Criteria),Custom field (Configuration Notes),Custom field (Control Number),Custom field (Cyber Reviewer KB Comment),Custom field (Cyber Reviewer Responded),Custom field (Cyber Reviewer Response),Custom field (Dependency Needed From),Custom field (Dependency Owed To),Custom field (Dev Team Approval),Custom field (Developer),Custom field (Document Number),Custom field (Driver Response),Custom field (ECD),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Epic Workflow Status),Custom field (Flagged),Custom field (GitLab URL IP Address),Custom field (Hardware Reviewer KB Comment),Custom field (Hardware Reviewer Responded),Custom field (Hardware Reviewer Response),Custom field (Issue Use),Custom field (Issue Use),Custom field (JQL Query),Custom field (Kickback Count),Custom field (Kickback Message),Custom field (Last Comment),Custom field (MR ID),Custom field (Milestone Entrance Criteria),Custom field (My Last Comment),Custom field (Network Reviewer),Custom field (Network Reviewer KB Comment),Custom field (Network Reviewer Responded),Custom field (Network Reviewer Response),Custom field (Original story points),Custom field (PTR ID),Custom field (Parent Link),Custom field (Peer Reviewer),Custom field (Peer Reviewer 2),Custom field (Peer Reviewer 3),Custom field (Peer Reviewer 3 Alloc (SP)),Custom field (Peer Reviewer 4),Custom field (Peer Reviewer 4 Alloc (SP)),Custom field (Peer Reviewer 5),Custom field (Project Engineer KB Comment),Custom field (Project Engineer Responded),Custom field (Project Engineer Response),Custom field (Project Lead KB Comment),Custom field (Project Lead Responded),Custom field (Project Lead Response),Custom field (Rank),Custom field (Reviewer 1 KB Comment),Custom field (Reviewer 1 Responded),Custom field (Reviewer 1 Response),Custom field (Reviewer 2 KB Comment),Custom field (Reviewer 2 Responded),Custom field (Reviewer 2 Response),Custom field (Reviewer 3 KB Comment),Custom field (Reviewer 3 Responded),Custom field (Reviewer 3 Response),Custom field (Reviewer 4 KB Comment),Custom field (Reviewer 4 Responded),Custom field (Reviewer 4 Response),Custom field (Reviewer 5 KB Comment),Custom field (Reviewer 5 Responded),Custom field (Reviewer 5 Response),Custom field (Risk),Custom field (Safety Reviewer KB Comment),Custom field (Safety Reviewer Responded),Custom field (Safety Reviewer Response),Custom field (Software Reviewer KB Comment),Custom field (Software Reviewer Responded),Custom field (Software Reviewer Response),Sprint,Sprint,Sprint,Custom field (Sr. Peer Reviewer),Custom field (Sr. Peer Reviewer KB Comment),Custom field (Sr. Peer Reviewer Response),Custom field (Sr. Reviewer Responded),Custom field (Story Points),Custom field (Systems Reviewer KB Comment),Custom field (Systems Reviewer Responded),Custom field (Systems Reviewer Response),Custom field (Systems Team Approval),Custom field (Target Progress),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Reviewer KB Comment),Custom field (Test Reviewer Responded),Custom field (Test Reviewer Response),Custom field (Test Setup),Custom field (Test Team Approval),Custom field (Time Spent By User),Custom field (Time Spent Total (hrs)),Custom field (Total Time Estimated (hrs)),Custom field (UUT),Custom field (Verification Method),Custom field (Visual Verifier Response),Custom field (co-Assignee),Custom field (co-Developer),Custom field (ΣBurnup (%)),Custom field (ΣDone SPs),Custom field (ΣIn Progress SPs),Custom field (ΣOrigEst (Hrs)),Custom field (ΣOriginal SPs),Custom field (ΣPercent Complete (%)),Custom field (ΣPercent Complete (%) (Hrs)),Custom field (ΣPlanned SPs),Custom field (ΣRemaining SPs),Custom field (ΣTime Estimate (Hrs)),Custom field (ΣTime Remaining (Hrs)),Custom field (ΣTime Spent (Hrs)),Comment,Comment,Comment,Comment,Comment,Comment
Prototype Service Account on ACAS,SSWCYBER-3136,104771,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ahoxha,jcabral7,jcabral7,29/Jun/26 11:06 AM,20/Jul/26 12:44 PM,18/Sep/26 3:20 PM,09/Jul/26 7:42 AM,,PI 19,,,,,,Environment Management,,,,0,"Build a service account on IDM or local account for the ACAS application. Ensure no login / no password is implemented. Local account would be preferred route since majority of servers in software doesnt use IDM. 

Configured Tenable Security Center (ACAS) credential scan to use the service account key to perform credential scan.

Reference how to section to access ACAS.",,jcabral7,,,,";02/Jul/26 7:58 AM;ahoxha;18000",";09/Jul/26 7:42 AM;ahoxha;10800",,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahoxha,,,,,SSWCYBER-3135,,,In Progress,,,,,,Kanban,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0z0:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
ACAS Support,SSWCYBER-3135,104770,Epic,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,ahoxha,jcabral7,jcabral7,29/Jun/26 11:02 AM,16/Sep/26 7:03 AM,18/Sep/26 3:20 PM,,,PI 19,,,,,,B30 Lab,Environment Management,,,0,"This Epic will encompass getting familiar with ACAS (Tenable Suite) and getting it to support a production environment. 

Task (s) will be assigned to rebuild our instance of ACAS for the bldg 30 lab",,jcabral7,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,ghx-label-4,,ACAS Support,In Progress,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0a0ys:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,94%,23/Sep/26 12:00 AM,01/Jul/26 12:00 AM,,,,,,,,,,,,,,,80.0,8.0,1.0,,,80.0,58.8,10.0,2.0,80.0,33.0,47.0,,,,,,
Cyber SSS Review Cycle: PI 20,SSWCYBER-2806,97307,Epic,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,dcatapan,dcatapan,dcatapan,17/Mar/26 7:16 AM,21/Jul/26 9:42 AM,18/Sep/26 3:20 PM,,,PI 20,,,,,,SSN812-CYBER-SSS-001,,,,0,,,dcatapan,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,ghx-label-9,,Cyber SSS Review Cycle: PI 20,To Do,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,15.0,,SSWIF-292,,,,,,,,,,,,,,"1|i08yts:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,0%,04/Jan/27 12:00 AM,19/Nov/26 12:00 AM,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,
Cyber SSS Development: PI 20,SSWCYBER-2805,97306,Epic,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,,dcatapan,dcatapan,dcatapan,17/Mar/26 7:13 AM,16/Sep/26 8:30 AM,18/Sep/26 3:20 PM,,,PI 20,,,,,,SSN812-CYBER-SSS-001,SSW PHC Cyber ,,,0,"Cyber ICD Customer Approval Route (After 4 week customer review)
 * Adjudicate customer comments
 * Provide finalized comment log w/ adjudications
 * NAVSEA provides formal letter of approval w/ comment
 * Update per adjudicated comments
 * Draft letter for information
 * Full Review Cycle (leads, supr + PL, QA, TPQ, Manager)
 * Release approved final clean revision
 * CM submittal
 * Issue transmittal for information",,dcatapan,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,ghx-label-9,,Cyber SSS Development: PI 20,In Progress,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,16.0,,SSWIF-292,,,,,,,,,,,,,,"1|i08ytk:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,0%,18/Nov/26 12:00 AM,23/Sep/26 12:00 AM,,,,,,,,,,,,,,,7.77,1.6,0.5,,,7.8,5.3,20.6,19.0,164.8,156.0,8.8,,,,,,
Notify Stakeholder that PHC Cyber ICD CDR Final Release has been released,SSWCYBER-2804,92123,Task,Cancelled,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Won't Do,ereyburn,ereyburn,ereyburn,20/Jan/26 9:07 AM,06/Jul/26 10:57 AM,18/Sep/26 3:20 PM,30/Jun/26 3:30 PM,,PI 19,,,,,,SSN812-CYBER-SSS-001,,,,0,!image-2026-01-20-09-10-54-600.png!,,ereyburn,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,SSWIF-3648,,,,,,,,,,,,,,,,,,,,,,,,,,,ereyburn,,,12/May/26 12:00 AM,,SSWCYBER-2801,,,Done,,,,,,SOS,Sprint,,,,"Posted on: Tue Jun 30 15:30:38 EDT 2026
Unclear when the Final release is being released. And, when it is, it is the Cyber SSS not the Cyber ICD",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i088w0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"30/Jun/26 3:30 PM;ereyburn;Unclear when the Final release is being released. And, when it is, it is the Cyber SSS not the Cyber ICD;;;",,,,,
DJSM-3613: Remove the appendix C: Security controls not fulfilled by PHC,SSWCYBER-2803,101938,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,dcatapan,dcatapan,ereyburn,19/May/26 12:11 PM,08/Sep/26 6:58 AM,18/Sep/26 3:20 PM,08/Sep/26 6:58 AM,,PI 19,,,,,,SSN812-CYBER-SSS-001,,,,0,see djsm,,ereyburn,,,,"see DJSM for comments;08/Sep/26 6:58 AM;dcatapan;1800",,,,,,,5760,3960,1800,31%,5760,3960,1800,,,,,,,,,,,,,,,,DJSM-3613,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2802,,,Done,,,,,,Sprint,,,,,"Posted on: Thu May 28 08:35:59 EDT 2026
pushing to the backlog. Will not be done in this next release of the Cyber SSS. Need more analysis",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i09m5s:",,,,,,,,,,,,,,,,Medium,,,,,,,SSWCYBER Sprint 19.5,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"28/May/26 8:35 AM;ereyburn;pushing to the backlog. Will not be done in this next release of the Cyber SSS. Need more analysis;;;",,,,,
CYBER SSS Development: PI19,SSWCYBER-2802,97302,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,dcatapan,dingram1,dcatapan,17/Mar/26 7:05 AM,16/Sep/26 8:31 AM,18/Sep/26 3:20 PM,16/Sep/26 8:31 AM,,PI 19,,,,,,SSN812-CYBER-SSS-001,,,,0,,,dcatapan,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,'- Burndown deferred comment backlog as designated by DJSMs assigned to this epic,,,,,,,,,dcatapan,,,,ghx-label-9,,CYBER SSS Development: PI19,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,14.0,,SSWIF-292,,,,,,,,,,,,,,"1|i08yso:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,100%,09/Sep/26 12:00 AM,21/Jul/26 12:00 AM,,,,,,,,,,,,,,,70.71,9.9,0.0,,,100.0,36.5,9.9,0.0,79.2,50.3,28.9,,,,,,
CYBER SSS PI 18 Release Review Closeout,SSWCYBER-2801,97033,Epic,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,dcatapan,dingram1,dcatapan,16/Mar/26 7:32 AM,12/Aug/26 9:10 AM,18/Sep/26 3:20 PM,12/Aug/26 9:10 AM,,PI 19,,,,,,SSN812-CYBER-SSS-001,,,,0,"PI 19 - Cyber ICD CDR Release Final Issuance
 * Finish Leads Review
 * Supervisors + PL Review
 * Draft Letter Package
 * QA & TPQ
 * Manager Review
 * CM Baseline
 * Issue Letter",,dcatapan,,,,,,,,,,,0,0,,0%,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"'- Leads Review Adjudication
- Supervisors + PL Review & Adjudication
- First Prep of Letter Package
- QA & TPQ Review & Adjudication
- Second Prep of Letter Package
- Manager Review & Adjudication
- CM Baseline of final clean revision and final prep of letter package
- Manager & Originator Letter Sign & Issuance for NAVSEA approval",,,,,,,,,dcatapan,,,,ghx-label-9,,CYBER SSS PI 18 Release Review Closeout,Done,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,10.0,,SSWIF-292,,,,,,,,,,,,,,"1|i08xo0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,100%,12/Aug/26 12:00 AM,01/Jul/26 12:00 AM,,,,,,,,,,,,,,,50.0,5.0,0.0,,,100.0,101.3,5.0,0.0,40.0,'-0.5,40.5,,,,,,
"DJSM-3518 Part 1: Map process requirements to respective SDP, SwDP, etc, and Determine how to display in RVTM",SSWCYBER-2800,97041,Task,In Progress,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Highest,,dcatapan,dcatapan,dcatapan,16/Mar/26 8:31 AM,21/Jul/26 9:43 AM,18/Sep/26 3:20 PM,,,PI 20,,,,,,SSN812-CYBER-SSS-001,,,,0,"Batch 1 of Reviewing Process/Procedural control statements.

x53 statements (53 / 347)

 

Remove and identify locations for OQE for current process/procedural control statements
a.
The Cyber spec does not have any process control statements
b.
The plan is to remove from the Cyber ICD, but any of the associated OQE for the RMF/ATO process must be stored / located in an alternate location
347 items * 18 min/item = 104 hours",,dcatapan,,,,,,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,DJSM-3518,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2805,,,In Progress,,,,,,Sprint,,,,,"Posted on: Mon Jun 22 13:39:32 EDT 2026
Did not make cut-off before Leads Review began.",,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i0643h:9",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,"05/May/26 6:17 AM;dcatapan;Task rolled to next sprint due to emergent work on another board.;;;","19/May/26 6:33 AM;dcatapan;Task rolled to next sprint due to emergent work on another board.;;;","22/Jun/26 1:39 PM;dcatapan;Did not make cut-off before Leads Review began.;;;",,,
CDR Final Release Peer Review Comment Adjudication,SSWCYBER-2799,97344,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,ereyburn,ereyburn,dcatapan,17/Mar/26 10:01 AM,01/Jul/26 11:28 AM,18/Sep/26 3:20 PM,01/Jul/26 11:28 AM,,PI 18-C,,,,,,SSN812-CYBER-SSS-001,,,,0,,,dcatapan,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ereyburn,,,,,,,,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i08z1c:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
"DJSM-3518 Part 2: Map process requirements to respective SDP, SwDP, etc, and Determine how to display in RVTM",SSWCYBER-2798,97042,Task,To Do,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Highest,,dcatapan,dcatapan,dcatapan,16/Mar/26 8:32 AM,21/Jul/26 9:44 AM,18/Sep/26 3:20 PM,,,PI 20,,,,,,SSN812-CYBER-SSS-001,,,,0,"Batch 2 of Reviewing Process/Procedural control statements.

x54 statements (107 / 347)

 

Remove and identify locations for OQE for current process/procedural control statements
a.
The Cyber spec does not have any process control statements
b.
The plan is to remove from the Cyber ICD, but any of the associated OQE for the RMF/ATO process must be stored / located in an alternate location
347 items * 18 min/item = 104 hours",,dcatapan,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,DJSM-3518,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,SSWCYBER-2805,,,In Progress,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i08xq0:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Prep for CDR Final Release Leads Review,SSWCYBER-2797,97346,Task,Done,SSWCYBER,SSWCyber,software,dcatapan,"As of Feb 2025, this project space plans work for D454 and D440 Cyber component leads who report to Andrew Dowdell and Mark Scussell.

A note on Permissions to this space.
1. SSW collaborating resources are granted Browse & Create capability from the higher-level Permissions Schema shared by all D440 SSW teams. 
2. Project-level Roles are for project Administration (Scrum Master, App Admins) and Component Leads who require more permissions than the collaborators, to manage Releases, Components, Sprints etc. 
3. Scrum Masters & Admins: Please ensure any resource listed in the Roles has ""Assignable User Group"" in addition to PO or Scrum Master or Developer.  There is currently only 1 difference from PO and Developer:  A Developer role cannot start/end a Sprint.  You may elect to change this anytime, and thus, track even less different ""Roles"".

Historic:
This space as of Sep26 2025, tracked less about Requirements (Year 2024) and more about Action Items. The space key was changed from ""CYREQS"" to ""CYBER"" in Y24Q4.",,Medium,Done,dcatapan,dcatapan,dcatapan,17/Mar/26 10:02 AM,01/Jul/26 11:27 AM,18/Sep/26 3:20 PM,01/Jul/26 11:27 AM,,PI 18-C,,,,,,SSN812-CYBER-SSS-001,,,,0,,,dcatapan,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcatapan,,,,,,,,,,,,,,Sprint,,,,,,,,No comments by current user.,,,,,,,,,,,,,,,,,,,,,"1|i08z1s:",,,,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
